title,studio,domestic_gross,foreign_gross,year,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes
toy story 3,BV,415000000.0,652000000,2010,tt0435761,toy story 3,toy story 3,2010,103.0,"adventure,animation,comedy",8.3,682218
inception,WB,292600000.0,535700000,2010,tt1375666,inception,inception,2010,148.0,"action,adventure,sci-fi",8.8,1841066
shrek forever after,P/DW,238700000.0,513900000,2010,tt0892791,shrek forever after,shrek forever after,2010,93.0,"adventure,animation,comedy",6.3,167532
the twilight saga: eclipse,Sum.,300500000.0,398000000,2010,tt1325004,the twilight saga: eclipse,the twilight saga: eclipse,2010,124.0,"adventure,drama,fantasy",5.0,211733
iron man 2,Par.,312400000.0,311500000,2010,tt1228705,iron man 2,iron man 2,2010,124.0,"action,adventure,sci-fi",7.0,657690
tangled,BV,200800000.0,391000000,2010,tt0398286,tangled,tangled,2010,100.0,"adventure,animation,comedy",7.8,366366
despicable me,Uni.,251500000.0,291600000,2010,tt1323594,despicable me,despicable me,2010,95.0,"animation,comedy,family",7.7,464511
how to train your dragon,P/DW,217600000.0,277300000,2010,tt0892769,how to train your dragon,how to train your dragon,2010,98.0,"action,adventure,animation",8.1,611299
the chronicles of narnia: the voyage of the dawn treader,Fox,104400000.0,311300000,2010,tt0980970,the chronicles of narnia: the voyage of the dawn treader,the chronicles of narnia: the voyage of the dawn treader,2010,113.0,"adventure,family,fantasy",6.3,129663
the king's speech,Wein.,135500000.0,275400000,2010,tt1504320,the king's speech,the king's speech,2010,118.0,"biography,drama,history",8.0,593629
the karate kid,Sony,176600000.0,182500000,2010,tt1155076,the karate kid,the karate kid,2010,140.0,"action,drama,family",6.2,146401
prince of persia: the sands of time,BV,90800000.0,245600000,2010,tt0473075,prince of persia: the sands of time,prince of persia: the sands of time,2010,116.0,"action,adventure,fantasy",6.6,254975
black swan,FoxS,107000000.0,222400000,2010,tt0947798,black swan,black swan,2010,108.0,"drama,thriller",8.0,648854
megamind,P/DW,148400000.0,173500000,2010,tt1001526,megamind,megamind,2010,95.0,"action,animation,comedy",7.3,207488
robin hood,Uni.,105300000.0,216400000,2010,tt0955308,robin hood,robin hood,2010,140.0,"action,adventure,drama",6.6,239480
robin hood,Uni.,105300000.0,216400000,2010,tt4532826,robin hood,robin hood,2018,116.0,"action,adventure,thriller",5.3,41588
the last airbender,Par.,131800000.0,187900000,2010,tt0938283,the last airbender,the last airbender,2010,103.0,"action,adventure,family",4.1,137734
little fockers,Uni.,148400000.0,162200000,2010,tt0970866,little fockers,little fockers,2010,98.0,"comedy,romance",5.5,99222
resident evil: afterlife,SGem,60100000.0,240100000,2010,tt1220634,resident evil: afterlife,resident evil: afterlife,2010,96.0,"action,adventure,horror",5.9,153270
shutter island,Par.,128000000.0,166800000,2010,tt1130884,shutter island,shutter island,2010,138.0,"mystery,thriller",8.1,1005960
salt,Sony,118300000.0,175200000,2010,tt0944835,salt,salt,2010,100.0,"action,mystery,thriller",6.4,277204
sex and the city 2,WB (NL),95300000.0,193000000,2010,tt1261945,sex and the city 2,sex and the city 2,2010,146.0,"comedy,drama,romance",4.4,69199
the tourist,Sony,67600000.0,210700000,2010,tt1243957,the tourist,the tourist,2010,103.0,"action,adventure,thriller",6.0,206714
the expendables,LGF,103100000.0,171400000,2010,tt1320253,the expendables,the expendables,2010,103.0,"action,adventure,thriller",6.5,307897
grown ups,Sony,162000000.0,109400000,2010,tt1375670,grown ups,grown ups,2010,102.0,comedy,6.0,210377
true grit,Par.,171200000.0,81000000,2010,tt1403865,true grit,true grit,2010,110.0,"adventure,drama,western",7.6,284034
gulliver's travels,Fox,42800000.0,194600000,2010,tt1320261,gulliver's travels,gulliver's travels,2010,85.0,"adventure,comedy,family",4.9,61178
percy jackson & the olympians: the lightning thief,Fox,88800000.0,137700000,2010,tt0814255,percy jackson & the olympians: the lightning thief,percy jackson & the olympians: the lightning thief,2010,118.0,"adventure,family,fantasy",5.9,165108
the social network,Sony,97000000.0,128000000,2010,tt1285016,the social network,the social network,2010,120.0,"biography,drama",7.7,568578
valentine's day,WB (NL),110500000.0,106000000,2010,tt0817230,valentine's day,valentine's day,2010,125.0,"comedy,romance",5.7,107171
the sorcerer's apprentice,BV,63200000.0,152100000,2010,tt0963966,the sorcerer's apprentice,the sorcerer's apprentice,2010,109.0,"action,adventure,family",6.1,143862
due date,WB,100500000.0,111200000,2010,tt1231583,due date,due date,2010,95.0,"adventure,comedy",6.5,303523
eat pray love,Sony,80600000.0,124000000,2010,tt0879870,eat pray love,eat pray love,2010,133.0,"drama,romance",5.8,77709
yogi bear,WB,100200000.0,101300000,2010,tt1302067,yogi bear,yogi bear,2010,80.0,"adventure,animation,comedy",4.6,18934
red,Sum.,90400000.0,108600000,2010,tt1245526,red,red,2010,111.0,"action,comedy,crime",7.1,271570
paranormal activity 2,Par.,84800000.0,92800000,2010,tt1536044,paranormal activity 2,paranormal activity 2,2010,91.0,horror,5.7,93122
the a-team,Fox,77200000.0,100000000,2010,tt0429493,the a-team,the a-team,2010,117.0,"action,adventure,thriller",6.8,235256
the other guys,Sony,119200000.0,51200000,2010,tt1386588,the other guys,the other guys,2010,107.0,"action,comedy,crime",6.7,221664
unstoppable,Fox,81600000.0,86200000,2010,tt0477080,unstoppable,unstoppable,2010,98.0,"action,thriller",6.8,173019
unstoppable,Fox,81600000.0,86200000,2010,tt3070502,unstoppable,unstoppable,2013,65.0,documentary,4.3,551
unstoppable,Fox,81600000.0,86200000,2010,tt9225192,unstoppable,seongnan hwangso,2018,116.0,"action,crime",6.5,576
the book of eli,WB,94800000.0,62300000,2010,tt1037705,the book of eli,the book of eli,2010,118.0,"action,adventure,drama",6.9,271307
the town,WB,92200000.0,61800000,2010,tt0840361,the town,the town,2010,125.0,"crime,drama,thriller",7.6,322524
date night,Fox,98700000.0,53600000,2010,tt1279935,date night,date night,2010,88.0,"comedy,crime,romance",6.3,144683
legend of the guardians: the owls of ga'hoole,WB,55700000.0,84400000,2010,tt1219342,legend of the guardians: the owls of ga'hoole,legend of the guardians: the owls of ga'hoole,2010,97.0,"action,adventure,animation",7.0,73790
the wolfman,Uni.,62000000.0,77800000,2010,tt0780653,the wolfman,the wolfman,2010,103.0,"drama,fantasy,horror",5.8,97873
the bounty hunter,Sony,67099999.0,69300000,2010,tt1038919,the bounty hunter,the bounty hunter,2010,110.0,"action,comedy,romance",5.6,112444
wall street: money never sleeps,Fox,52500000.0,82300000,2010,tt1027718,wall street: money never sleeps,wall street: money never sleeps,2010,133.0,drama,6.2,93486
the fighter,Par.,93600000.0,35600000,2010,tt0964517,the fighter,the fighter,2010,116.0,"biography,drama,sport",7.8,316539
predators,Fox,52000000.0,75200000,2010,tt1424381,predators,predators,2010,107.0,"action,adventure,sci-fi",6.4,199764
dear john,SGem,80000000.0,35000000,2010,tt0989757,dear john,dear john,2010,108.0,"drama,romance,war",6.3,128657
cats & dogs: the revenge of kitty galore,WB,43600000.0,68900000,2010,tt1287468,cats & dogs: the revenge of kitty galore,cats & dogs: the revenge of kitty galore,2010,82.0,"action,comedy,family",4.3,12642
tooth fairy,Fox,60000000.0,52400000,2010,tt0808510,tooth fairy,tooth fairy,2010,101.0,"comedy,family,fantasy",5.0,37939
life as we know it,WB,53400000.0,52300000,2010,tt1055292,life as we know it,life as we know it,2010,114.0,"comedy,drama,romance",6.6,113077
hereafter,WB,32700000.0,72500000,2010,tt1212419,hereafter,hereafter,2010,129.0,"drama,fantasy,romance",6.5,87288
the girl with the dragon tattoo,MBox,10100000.0,94300000,2010,tt1568346,the girl with the dragon tattoo,the girl with the dragon tattoo,2011,158.0,"crime,drama,mystery",7.8,387580
killers,LGF,47100000.0,51100000,2010,tt1103153,killers,killers,2010,100.0,"action,comedy,romance",5.4,82237
killers,LGF,47100000.0,51100000,2010,tt2409300,killers,killers,2014,137.0,"action,crime,drama",6.5,4472
kick-ass,LGF,48100000.0,48100000,2010,tt1250777,kick-ass,kick-ass,2010,117.0,"action,comedy",7.6,497363
green zone,Uni.,35100000.0,59800000,2010,tt0947810,green zone,green zone,2010,115.0,"action,drama,thriller",6.8,122132
nanny mcphee returns,Uni.,29000000.0,64200000,2010,tt1415283,nanny mcphee returns,nanny mcphee and the big bang,2010,109.0,"comedy,family,fantasy",6.1,25048
get him to the greek,Uni.,61000000.0,30300000,2010,tt1226229,get him to the greek,get him to the greek,2010,109.0,"adventure,comedy,music",6.4,161653
burlesque,SGem,39400000.0,50100000,2010,tt1126591,burlesque,burlesque,2010,119.0,"drama,music,musical",6.4,71021
the last song,BV,63000000.0,26100000,2010,tt1294226,the last song,the last song,2010,107.0,"drama,music,romance",6.0,74914
dinner for schmucks,P/DW,73000000.0,13800000,2010,tt0427152,dinner for schmucks,dinner for schmucks,2010,114.0,comedy,5.9,91546
marmaduke,Fox,33600000.0,50100000,2010,tt1392197,marmaduke,marmaduke,2010,87.0,"comedy,family",4.2,13283
piranha 3d,W/Dim.,25000000.0,58200000,2010,tt0464154,piranha 3d,piranha 3d,2010,88.0,"comedy,horror",5.4,81327
edge of darkness,WB,43300000.0,37800000,2010,tt1226273,edge of darkness,edge of darkness,2010,117.0,"crime,drama,mystery",6.6,84753
vampires suck,Fox,36700000.0,43900000,2010,tt1666186,vampires suck,vampires suck,2010,82.0,comedy,3.4,43984
letters to juliet,Sum.,53000000.0,26100000,2010,tt0892318,letters to juliet,letters to juliet,2010,105.0,"adventure,comedy,drama",6.6,86137
the back-up plan,CBS,37500000.0,40000000,2010,tt1212436,the back-up plan,the back-up plan,2010,104.0,"comedy,romance",5.4,46128
diary of a wimpy kid,Fox,64000000.0,11700000,2010,tt1196141,diary of a wimpy kid,diary of a wimpy kid,2010,94.0,"comedy,drama,family",6.2,38640
easy a,SGem,58400000.0,16600000,2010,tt1282140,easy a,easy a,2010,92.0,"comedy,drama,romance",7.1,330125
takers,SGem,57700000.0,11300000,2010,tt1135084,takers,takers,2010,107.0,"action,crime,thriller",6.2,53377
the american,Focus,35600000.0,32299999,2010,tt1440728,the american,the american,2010,105.0,"crime,drama,thriller",6.3,86863
the last exorcism,LGF,41000000.0,26700000,2010,tt1320244,the last exorcism,the last exorcism,2010,87.0,"drama,horror,thriller",5.6,45815
the next three days,LGF,21100000.0,46300000,2010,tt1458175,the next three days,the next three days,2010,133.0,"action,crime,drama",7.4,168066
skyline,Uni.,21400000.0,45400000,2010,tt1564585,skyline,skyline,2010,92.0,"action,sci-fi,thriller",4.4,83710
hot tub time machine,MGM,50300000.0,14300000,2010,tt1231587,hot tub time machine,hot tub time machine,2010,101.0,"comedy,sci-fi",6.4,153962
devil,Uni.,33600000.0,29100000,2010,tt1314655,devil,devil,2010,80.0,"horror,mystery,thriller",6.2,122080
127 hours,FoxS,18300000.0,42400000,2010,tt1542344,127 hours,127 hours,2010,94.0,"adventure,biography,drama",7.6,323949
secretariat,BV,59700000.0,537000,2010,tt1028576,secretariat,secretariat,2010,123.0,"biography,drama,family",7.2,24536
the ghost writer,Sum.,15500000.0,44700000,2010,tt1139328,the ghost writer,the ghost writer,2010,128.0,"drama,mystery,thriller",7.2,148274
morning glory,Par.,31000000.0,29000000,2010,tt1126618,morning glory,morning glory,2010,107.0,"comedy,drama,romance",6.5,67367
remember me,Sum.,19100000.0,37000000,2010,tt1403981,remember me,remember me,2010,113.0,"drama,romance",7.1,129443
cop out,WB,44900000.0,10700000,2010,tt1385867,cop out,cop out,2010,107.0,"action,comedy,crime",5.6,81656
the crazies,Over.,39100000.0,15700000,2010,tt0455407,the crazies,the crazies,2010,101.0,"horror,thriller",6.5,104465
from paris with love,LGF,24100000.0,28700000,2010,tt1179034,from paris with love,from paris with love,2010,92.0,"action,crime,thriller",6.5,107079
alpha and omega,LGF,25100000.0,25400000,2010,tt1213012,alpha and omega,alpha and omega,2010,90.0,"adventure,animation,comedy",5.3,12463
the switch,Mira.,27800000.0,22100000,2010,tt0889573,the switch,the switch,2010,101.0,"comedy,drama,romance",6.1,90661
she's out of my league,Par.,32000000.0,17800000,2010,tt0815236,she's out of my league,she's out of my league,2010,104.0,"comedy,romance",6.4,117245
how do you know,Sony,30200000.0,18500000,2010,tt1341188,how do you know,how do you know,2010,121.0,"comedy,drama,romance",5.4,41072
charlie st. cloud,Uni.,31200000.0,17000000,2010,tt1438254,charlie st. cloud,charlie st. cloud,2010,99.0,"drama,fantasy,romance",6.5,55016
scott pilgrim vs. the world,Uni.,31500000.0,16100000,2010,tt0446029,scott pilgrim vs. the world,scott pilgrim vs. the world,2010,112.0,"action,comedy,fantasy",7.5,339338
heartbreaker,IFC,504000.0,46900000,2010,tt1465487,heartbreaker,l'arnacoeur,2010,105.0,"comedy,romance",6.8,23995
the spy next door,LGF,24300000.0,20900000,2010,tt1273678,the spy next door,the spy next door,2010,94.0,"action,comedy,family",5.5,36767
machete,Fox,26600000.0,17500000,2010,tt0985694,machete,machete,2010,105.0,"action,crime,thriller",6.6,182320
the man from nowhere,CJ,528000.0,42500000,2010,tt1527788,the man from nowhere,ajeossi,2010,119.0,"action,drama,thriller",7.8,55247
when in rome,BV,32700000.0,10400000,2010,tt1185416,when in rome,when in rome,2010,91.0,"comedy,romance",5.6,57396
my name is khan,FoxS,4000000.0,38300000,2010,tt1188996,my name is khan,my name is khan,2010,165.0,drama,8.0,90988
going the distance,WB (NL),17800000.0,24200000,2010,tt1322312,going the distance,going the distance,2010,102.0,"comedy,romance",6.3,54421
for colored girls,LGF,37700000.0,17300,2010,tt1405500,for colored girls,for colored girls,2010,133.0,drama,6.1,6728
furry vengeance,Sum.,17600000.0,18600000,2010,tt0492389,furry vengeance,furry vengeance,2010,92.0,"comedy,family",3.8,14700
faster,CBS,23200000.0,12400000,2010,tt1433108,faster,faster,2010,98.0,"action,crime,drama",6.5,93618
the kids are all right,Focus,20800000.0,13900000,2010,tt0842926,the kids are all right,the kids are all right,2010,106.0,"comedy,drama,romance",7.0,120656
you will meet a tall dark stranger,SPC,3200000.0,31000000,2010,tt1182350,you will meet a tall dark stranger,you will meet a tall dark stranger,2010,98.0,"comedy,drama,romance",6.3,41608
leap year,Uni.,25900000.0,6700000,2010,tt1216492,leap year,leap year,2010,100.0,"comedy,romance",6.5,86125
you again,BV,25700000.0,6300000,2010,tt1414382,you again,you again,2010,105.0,"comedy,family,romance",5.8,46690
the losers,WB,23600000.0,5800000,2010,tt0480255,the losers,the losers,2010,97.0,"action,adventure,crime",6.4,83876
ramona and beezus,Fox,26200000.0,1100000,2010,tt0493949,ramona and beezus,ramona and beezus,2010,103.0,"adventure,comedy,family",6.6,16086
let me in,Over.,12100000.0,12000000,2010,tt1228987,let me in,let me in,2010,116.0,"drama,fantasy,horror",7.1,107012
just wright,FoxS,21500000.0,29900,2010,tt1407061,just wright,just wright,2010,100.0,"comedy,romance,sport",5.9,12466
our family wedding,FoxS,20300000.0,1200000,2010,tt1305583,our family wedding,our family wedding,2010,103.0,"comedy,romance",4.9,6417
my soul to take,Uni.,14700000.0,6200000,2010,tt0872230,my soul to take,my soul to take,2010,107.0,"horror,mystery,thriller",4.8,18381
country strong,SGem,20200000.0,310000,2010,tt1555064,country strong,country strong,2010,117.0,"drama,music",6.3,16296
another year,SPC,3200000.0,16500000,2010,tt1431181,another year,another year,2010,129.0,"comedy,drama",7.3,26273
buried,LGF,1000000.0,18100000,2010,tt1462758,buried,buried,2010,95.0,"drama,mystery,thriller",7.0,139426
repo men,Uni.,13800000.0,4600000,2010,tt1053424,repo men,repo men,2010,111.0,"action,crime,sci-fi",6.3,96144
the nutcracker in 3d,Free,195000.0,16000000,2010,tt1041804,the nutcracker in 3d,the nutcracker in 3d,2010,110.0,"action,family,fantasy",4.3,3119
sea rex 3d: journey to a prehistoric world,3D,6100000.0,9900000,2010,tt1529567,sea rex 3d: journey to a prehistoric world,sea rex 3d: journey to a prehistoric world,2010,41.0,documentary,6.9,364
i hate luv storys,UTV,848000.0,14900000,2010,tt1667838,i hate luv storys,i hate luv storys,2010,129.0,"comedy,drama,romance",5.7,6921
extraordinary measures,CBS,12100000.0,3100000,2010,tt1244659,extraordinary measures,extraordinary measures,2010,106.0,drama,6.5,15673
somewhere,Focus,1800000.0,12200000,2010,tt1421051,somewhere,somewhere,2010,97.0,"comedy,drama",6.3,40250
winter's bone,RAtt.,6500000.0,7300000,2010,tt1399683,winter's bone,winter's bone,2010,100.0,"drama,mystery",7.2,127751
raajneeti,UTV,1500000.0,11100000,2010,tt1291465,raajneeti,raajneeti,2010,163.0,"crime,drama",7.2,15214
made in dagenham,SPC,1100000.0,11300000,2010,tt1371155,made in dagenham,made in dagenham,2010,113.0,"biography,comedy,drama",7.2,13121
blue valentine,Wein.,9700000.0,2600000,2010,tt1120985,blue valentine,blue valentine,2010,112.0,"drama,romance",7.4,170089
tamara drewe,SPC,560000.0,11400000,2010,tt1486190,tamara drewe,tamara drewe,2010,107.0,"comedy,drama,romance",6.2,19362
the warrior's way,Rela.,5700000.0,5400000,2010,tt1032751,the warrior's way,the warrior's way,2010,100.0,"action,fantasy,western",6.3,24271
jonah hex,WB,10500000.0,356000,2010,tt1075747,jonah hex,jonah hex,2010,81.0,"action,drama,fantasy",4.7,51860
cyrus,FoxS,7500000.0,2500000,2010,tt1327709,cyrus,cyrus,2010,87.0,"crime,horror,mystery",4.7,944
conviction,FoxS,6800000.0,2900000,2010,tt1244754,conviction,conviction,2010,107.0,"biography,crime,drama",7.2,39771
babies,Focus,7300000.0,2200000,2010,tt1020938,babies,bébé(s),2010,79.0,documentary,7.1,6672
stone,Over.,1800000.0,7700000,2010,tt1423995,stone,stone,2010,105.0,"drama,thriller",5.4,38667
stone,Over.,1800000.0,7700000,2010,tt2156825,stone,kamen,2012,90.0,"crime,drama,thriller",5.6,607
never let me go,FoxS,2400000.0,7000000,2010,tt1334260,never let me go,never let me go,2010,103.0,"drama,romance,sci-fi",7.1,130084
macgruber,Uni.,8500000.0,797000,2010,tt1470023,macgruber,macgruber,2010,90.0,"action,comedy,romance",5.5,39782
inside job,SPC,4300000.0,3600000,2010,tt1645089,inside job,inside job,2010,109.0,"crime,documentary",8.3,65304
centurion,Magn.,124000.0,6700000,2010,tt1020558,centurion,centurion,2010,97.0,"action,adventure,drama",6.4,74085
animal kingdom,SPC,1000000.0,5700000,2010,tt1313092,animal kingdom,animal kingdom,2010,113.0,"crime,drama",7.3,51576
it's kind of a funny story,Focus,6400000.0,128000,2010,tt0804497,it's kind of a funny story,it's kind of a funny story,2010,101.0,"comedy,drama,romance",7.1,125583
greenberg,Focus,4200000.0,1900000,2010,tt1234654,greenberg,greenberg,2010,107.0,"comedy,drama,romance",6.1,33702
exit through the gift shop,PDA,3300000.0,2000000,2010,tt1587707,exit through the gift shop,exit through the gift shop,2010,87.0,"comedy,crime,documentary",8.0,58721
rabbit hole,LGF,2200000.0,2900000,2010,tt0935075,rabbit hole,rabbit hole,2010,91.0,drama,7.0,45357
the runaways,App.,3600000.0,1100000,2010,tt1017451,the runaways,the runaways,2010,106.0,"biography,drama,music",6.6,43792
four lions,Drft.,305000.0,4400000,2010,tt1341167,four lions,four lions,2010,97.0,"comedy,crime,drama",7.3,66209
please give,SPC,4000000.0,280000,2010,tt0878835,please give,please give,2010,87.0,"comedy,drama",6.6,10652
monsters,Magn.,237000.0,4000000,2010,tt1470827,monsters,monsters,2010,94.0,"drama,sci-fi,thriller",6.4,84332
rare exports: a christmas tale,Osci.,236000.0,3800000,2010,tt1401143,rare exports: a christmas tale,rare exports,2010,84.0,"adventure,fantasy,horror",6.7,23923
the killer inside me,IFC,217000.0,3800000,2010,tt0954947,the killer inside me,the killer inside me,2010,109.0,"crime,drama,horror",6.1,31727
catfish,Rog.,3200000.0,242000,2010,tt1584016,catfish,catfish,2010,87.0,"documentary,drama,mystery",7.1,38656
wild target,Free,109000.0,3300000,2010,tt1235189,wild target,wild target,2010,98.0,"action,comedy,crime",6.8,33915
kites,Relbig.,1600000.0,1300000,2010,tt1198101,kites,kites,2010,123.0,"action,drama,romance",6.1,11353
letters to god,Viv.,2800000.0,60300,2010,tt1462054,letters to god,letters to god,2010,110.0,"drama,family",6.3,4443
