,primary_title,runtime_minutes,genres,averagerating,original_language,original_title,popularity,vote_average,release_date,production_budget,worldwide_gross,studio,domestic_gross,foreign_gross
0,On the Road,124.0,Adventure,6.1,en,On the Road,8.919,5.6,2013-03-22,25000000.0,9313302.0,IFC,744000.0,8000000.0
0,On the Road,124.0,Drama,6.1,en,On the Road,8.919,5.6,2013-03-22,25000000.0,9313302.0,IFC,744000.0,8000000.0
0,On the Road,124.0,Romance,6.1,en,On the Road,8.919,5.6,2013-03-22,25000000.0,9313302.0,IFC,744000.0,8000000.0
1,On the Road,89.0,Drama,6.0,en,On the Road,8.919,5.6,2013-03-22,25000000.0,9313302.0,IFC,744000.0,8000000.0
2,On the Road,121.0,Drama,5.7,en,On the Road,8.919,5.6,2013-03-22,25000000.0,9313302.0,IFC,744000.0,8000000.0
3,The Secret Life of Walter Mitty,114.0,Adventure,7.3,en,The Secret Life of Walter Mitty,10.743,7.1,2013-12-25,91000000.0,187861183.0,Fox,58200000.0,129900000.0
3,The Secret Life of Walter Mitty,114.0,Comedy,7.3,en,The Secret Life of Walter Mitty,10.743,7.1,2013-12-25,91000000.0,187861183.0,Fox,58200000.0,129900000.0
3,The Secret Life of Walter Mitty,114.0,Drama,7.3,en,The Secret Life of Walter Mitty,10.743,7.1,2013-12-25,91000000.0,187861183.0,Fox,58200000.0,129900000.0
4,A Walk Among the Tombstones,114.0,Action,6.5,en,A Walk Among the Tombstones,19.373,6.3,2014-09-19,28000000.0,62108587.0,Uni.,26300000.0,26900000.0
4,A Walk Among the Tombstones,114.0,Crime,6.5,en,A Walk Among the Tombstones,19.373,6.3,2014-09-19,28000000.0,62108587.0,Uni.,26300000.0,26900000.0
4,A Walk Among the Tombstones,114.0,Drama,6.5,en,A Walk Among the Tombstones,19.373,6.3,2014-09-19,28000000.0,62108587.0,Uni.,26300000.0,26900000.0
5,Jurassic World,124.0,Action,7.0,en,Jurassic World,20.709,6.6,2015-06-12,215000000.0,1648854864.0,Uni.,652300000.0,1019.4
5,Jurassic World,124.0,Adventure,7.0,en,Jurassic World,20.709,6.6,2015-06-12,215000000.0,1648854864.0,Uni.,652300000.0,1019.4
5,Jurassic World,124.0,Sci-Fi,7.0,en,Jurassic World,20.709,6.6,2015-06-12,215000000.0,1648854864.0,Uni.,652300000.0,1019.4
6,The Rum Diary,119.0,Comedy,6.2,en,The Rum Diary,12.011,5.7,2011-10-28,45000000.0,21544732.0,FD,13100000.0,10800000.0
6,The Rum Diary,119.0,Drama,6.2,en,The Rum Diary,12.011,5.7,2011-10-28,45000000.0,21544732.0,FD,13100000.0,10800000.0
7,The Three Stooges,92.0,Comedy,5.1,en,The Three Stooges,9.358,5.1,2012-04-13,30000000.0,54052249.0,Fox,44300000.0,10500000.0
7,The Three Stooges,92.0,Family,5.1,en,The Three Stooges,9.358,5.1,2012-04-13,30000000.0,54052249.0,Fox,44300000.0,10500000.0
8,Tangled,100.0,Adventure,7.8,en,Tangled,21.511,7.5,2010-11-24,260000000.0,586477240.0,BV,200800000.0,391000000.0
8,Tangled,100.0,Animation,7.8,en,Tangled,21.511,7.5,2010-11-24,260000000.0,586477240.0,BV,200800000.0,391000000.0
8,Tangled,100.0,Comedy,7.8,en,Tangled,21.511,7.5,2010-11-24,260000000.0,586477240.0,BV,200800000.0,391000000.0
9,John Carter,132.0,Action,6.6,en,John Carter,18.549,6.1,2012-03-09,275000000.0,282778100.0,BV,73100000.0,211100000.0
