movie_id,person_id
tt0285252,nm0899854
tt0438973,nm0175726
tt0438973,nm1802864
tt0462036,nm1940585
tt0835418,nm0310087
tt0835418,nm0841532
tt0878654,nm0284943
tt0996958,nm2286991
tt0996958,nm2651190
tt0999913,nm0527109
tt0999913,nm0329051
tt0999913,nm0001603
tt0999913,nm0930684
tt10003792,nm10539228
tt10005130,nm5482263
tt10005130,nm10540239
tt10005378,nm9232888
tt10011102,nm2215938
tt10011102,nm0219964
tt1002965,nm0860520
tt1002965,nm0003521
tt1002965,nm2615300
tt10042456,nm6051389
tt10055770,nm8628554
tt10055770,nm8351963
tt10056334,nm10563034
tt10056334,nm10563021
tt10059624,nm0472248
tt10059624,nm10596139
tt10059624,nm10596140
tt10060902,nm10193497
tt10076760,nm10351658
tt10084358,nm10586890
tt10085524,nm7717515
tt10086906,nm10576024
tt10087396,nm1819081
tt10094362,nm4510291
tt10126496,nm3691130
tt10126628,nm0403225
tt10133856,nm9709981
tt10133856,nm8979374
tt10133856,nm10597667
tt10133856,nm10597668
tt10133856,nm10384892
tt10140002,nm0104200
tt10148094,nm10604110
tt10148094,nm10593130
tt10151164,nm6702777
tt10151164,nm10605716
tt10151318,nm5937285
tt10151630,nm2354872
tt10152332,nm10606599
tt10152332,nm10606598
tt10152332,nm10587264
tt1015458,nm2623735
tt1015458,nm2609432
tt10155126,nm8043706
tt10157728,nm7573719
tt10165624,nm2152398
tt1125929,nm0414893
tt1126618,nm0112459
tt1138442,nm0000247
tt1138442,nm4221403
tt1138442,nm4220872
tt1138442,nm4220087
tt1138442,nm1109708
tt1138442,nm0150916
tt1138442,nm0505000
tt1152830,nm1868973
tt1152830,nm1864022
tt1188984,nm2930963
tt1191135,nm2935584
tt1191135,nm2936196
tt1323592,nm2598931
tt1323592,nm0132843
tt1323592,nm3032994
tt1323592,nm3197208
tt1326193,nm1148357
tt1329350,nm0343980
tt1329350,nm2112033
tt1336608,nm0857620
tt1336608,nm0195476
tt1336608,nm1615610
tt1337191,nm0233574
tt1340107,nm0421314
tt1340107,nm0081540
tt1340107,nm0630955
tt1341167,nm0606439
tt1341167,nm1095060
tt1341167,nm1104036
tt1341167,nm1006581
tt1349616,nm3301048
tt1349616,nm0105291
tt1359553,nm0141843
tt1359553,nm0758933
tt1359553,nm1889082
tt1368440,nm1972793
tt1368440,nm1856884
tt1372686,nm0517589
tt1372686,nm0000636
tt1376233,nm0922487
tt1380799,nm0510790
tt1380799,nm0381228
tt1380799,nm2099454
tt1380799,nm2901041
tt1380799,nm4111102
tt1395783,nm1007344
tt1395783,nm2825988
tt1401718,nm2973669
tt1403987,nm0936754
tt1407055,nm1686989
tt1410270,nm0100904
tt1411232,nm1664928
tt1411664,nm0001191
tt1411664,nm0184445
tt1411664,nm0841910
tt1411704,nm0666791
tt1411704,nm0202425
tt1411704,nm0528244
tt1414820,nm3413184
tt1414820,nm2359044
tt1421361,nm4276105
tt1423593,nm1884759
tt1426386,nm0872542
tt1430070,nm3302440
tt1430070,nm3420383
tt1430070,nm2900814
tt1430070,nm3111601
tt1430115,nm1127150
tt1432989,nm1652061
tt1434435,nm1556126
tt1434435,nm0442104
tt1434435,nm0500329
tt1555832,nm0889402
tt1555832,nm0889403
tt1556193,nm0182041
tt1556193,nm3713673
tt1560182,nm3721883
tt1560182,nm3721069
tt1560182,nm3721090
tt1560182,nm3715793
tt1560977,nm0248373
tt1562847,nm0000626
tt1562872,nm1027719
tt1562872,nm1030373
tt1562872,nm0015295
tt1562872,nm10360928
tt1564585,nm1634030
tt1564585,nm2880943
tt1565069,nm0476384
tt1565069,nm3730130
tt1565995,nm0092632
tt1565995,nm0729202
tt1565995,nm1417425
tt1567735,nm2120520
tt1567735,nm1639992
tt1570988,nm1358092
tt1573072,nm2101751
tt1573072,nm1349318
tt1573072,nm0618898
tt1573072,nm0759785
tt1573072,nm1258512
tt1573072,nm1179457
tt1574542,nm2807492
tt1574542,nm2562972
tt1574542,nm1133014
tt1574542,nm0694858
tt1574542,nm2562167
tt1583373,nm3757448
tt1583936,nm0051032
tt1583936,nm3759892
tt1583936,nm0958159
tt1587416,nm2374897
tt1588356,nm1082740
tt1588358,nm0429162
tt1588358,nm2308899
tt1588398,nm0442704
tt1588398,nm3772967
tt1590030,nm2997691
tt1590030,nm3278383
tt1591086,nm3668748
tt1592534,nm0563748
tt1594471,nm2101896
tt1594471,nm2102305
tt1598782,nm1855384
tt1601237,nm3060588
tt1602620,nm0359734
tt1604556,nm3825970
tt1604556,nm3070233
tt1606619,nm3820629
tt1606619,nm0344985
tt1606619,nm3820666
tt1608239,nm1491850
tt1608769,nm1639986
tt1608769,nm0840894
tt1608769,nm0873608
tt1609120,nm3822400
tt1609479,nm3819792
tt1609479,nm1506819
tt1611211,nm1164552
tt1614338,nm2373826
tt1615147,nm1170855
tt1615875,nm3835086
tt1616171,nm3467462
tt1617630,nm2859836
tt1617654,nm2924113
tt1618368,nm0000929
tt1620691,nm4065935
tt1620691,nm3845428
tt1621835,nm1347803
tt1624408,nm0532914
tt1627106,nm3857844
tt1627106,nm3857396
tt1627124,nm3302515
tt1627124,nm2600491
tt1627124,nm2147104
tt1629295,nm1257497
tt1629295,nm2792671
tt1629295,nm1515299
tt1629295,nm0994603
tt1630327,nm2791091
tt1633356,nm1974551
tt1633356,nm3864204
tt1634524,nm1196163
tt1634524,nm3742120
tt1636784,nm1024171
tt1636811,nm1412350
tt1639857,nm0317815
tt1640112,nm2820462
tt1640112,nm5163387
tt1642191,nm0996471
