movie_id,person_id,primary_name,birth_year,primary_profession
tt0285252,nm0899854,Tony Vitale,1964,"producer,director,writer"
tt0835418,nm0151540,Jay Chandrasekhar,1968,"director,actor,writer"
tt0859635,nm0151540,Jay Chandrasekhar,1968,"director,actor,writer"
tt0878654,nm0089502,Albert Pyun,1954,"director,writer,producer"
tt1136688,nm0089502,Albert Pyun,1954,"director,writer,producer"
tt5056352,nm0089502,Albert Pyun,1954,"director,writer,producer"
tt3594042,nm0089502,Albert Pyun,1954,"director,writer,producer"
tt0996958,nm2286991,Tara Cardinal,1978,"actress,writer,producer"
tt2234024,nm2286991,Tara Cardinal,1978,"actress,writer,producer"
tt0999913,nm0527109,Rod Lurie,1962,"writer,director,producer"
tt3833480,nm0527109,Rod Lurie,1962,"writer,director,producer"
tt10059624,nm0472248,Piet Kroon,1960,"art_department,animation_department,writer"
tt10126628,nm0403225,Jianqi Huo,1958,"director,writer,art_director"
tt2779050,nm0403225,Jianqi Huo,1958,"director,writer,art_director"
tt5004918,nm0403225,Jianqi Huo,1958,"director,writer,art_director"
tt9501208,nm0403225,Jianqi Huo,1958,"director,writer,art_director"
tt5684550,nm0403225,Jianqi Huo,1958,"director,writer,art_director"
tt10140002,nm1098369,Ross MacGibbon,1955,"director,producer,editor"
tt2147008,nm1098369,Ross MacGibbon,1955,"director,producer,editor"
tt3570954,nm1098369,Ross MacGibbon,1955,"director,producer,editor"
tt3415656,nm1098369,Ross MacGibbon,1955,"director,producer,editor"
tt5219102,nm1098369,Ross MacGibbon,1955,"director,producer,editor"
tt8149286,nm1098369,Ross MacGibbon,1955,"director,producer,editor"
tt5289140,nm1098369,Ross MacGibbon,1955,"director,producer,editor"
tt7877016,nm1098369,Ross MacGibbon,1955,"director,producer,editor"
tt10146204,nm1375643,Azul Lombardía,1979,"actress,writer,director"
tt10165624,nm2152398,Daniel Knudsen,1988,"actor,director,producer"
tt1980942,nm2152398,Daniel Knudsen,1988,"actor,director,producer"
tt3980372,nm2152398,Daniel Knudsen,1988,"actor,director,producer"
tt3758592,nm2152398,Daniel Knudsen,1988,"actor,director,producer"
tt1125929,nm0000431,Taylor Hackford,1944,"producer,director,writer"
tt1904996,nm0000431,Taylor Hackford,1944,"producer,director,writer"
tt1967614,nm0000431,Taylor Hackford,1944,"producer,director,writer"
tt1126618,nm0585011,Roger Michell,1956,"director,producer,actor"
tt2392326,nm0585011,Roger Michell,1956,"director,producer,actor"
tt8717446,nm0585011,Roger Michell,1956,"director,producer,actor"
tt1477855,nm0585011,Roger Michell,1956,"director,producer,actor"
tt7363336,nm0585011,Roger Michell,1956,"director,producer,actor"
tt4411596,nm0585011,Roger Michell,1956,"director,producer,actor"
tt1138442,nm1012219,Hae-sung Song,1964,"director,writer,assistant_director"
tt6409944,nm1012219,Hae-sung Song,1964,"director,writer,assistant_director"
tt2969506,nm1012219,Hae-sung Song,1964,"director,writer,assistant_director"
tt1152830,nm1864022,Chris Tyrrell,1974,"writer,producer,director"
tt1159712,nm0998825,Jeffrey Blitz,1969,"director,producer,writer"
tt1412528,nm0998825,Jeffrey Blitz,1969,"director,producer,writer"
tt1188984,nm0007180,Lutz Konermann,1958,"director,cinematographer,writer"
tt1323592,nm2598931,Hunter G. Williams,1979,"producer,actor,writer"
tt1814905,nm2598931,Hunter G. Williams,1979,"producer,actor,writer"
tt10376988,nm2598931,Hunter G. Williams,1979,"producer,actor,writer"
tt1523972,nm2598931,Hunter G. Williams,1979,"producer,actor,writer"
tt5996648,nm2598931,Hunter G. Williams,1979,"producer,actor,writer"
tt3921694,nm2598931,Hunter G. Williams,1979,"producer,actor,writer"
tt6901334,nm2598931,Hunter G. Williams,1979,"producer,actor,writer"
tt1323593,nm1787884,Cassie Jaye,1986,"actress,director,producer"
tt1548236,nm1787884,Cassie Jaye,1986,"actress,director,producer"
tt1571416,nm1787884,Cassie Jaye,1986,"actress,director,producer"
tt3686998,nm1787884,Cassie Jaye,1986,"actress,director,producer"
tt1329350,nm0343980,Mark Steven Grove,1966,"stunts,special_effects,miscellaneous"
tt1874742,nm0343980,Mark Steven Grove,1966,"stunts,special_effects,miscellaneous"
tt1877707,nm0343980,Mark Steven Grove,1966,"stunts,special_effects,miscellaneous"
tt2039380,nm0343980,Mark Steven Grove,1966,"stunts,special_effects,miscellaneous"
tt10451952,nm0343980,Mark Steven Grove,1966,"stunts,special_effects,miscellaneous"
tt1336608,nm0788202,Adam Shankman,1964,"producer,miscellaneous,director"
tt7634968,nm0788202,Adam Shankman,1964,"producer,miscellaneous,director"
tt1337191,nm0233574,Rodrigo Dorfman,1967,"producer,director,writer"
tt1542400,nm0233574,Rodrigo Dorfman,1967,"producer,director,writer"
tt4032906,nm0233574,Rodrigo Dorfman,1967,"producer,director,writer"
tt2947984,nm0233574,Rodrigo Dorfman,1967,"producer,director,writer"
tt2124859,nm0233574,Rodrigo Dorfman,1967,"producer,director,writer"
tt1340107,nm0081540,Susanne Bier,1960,"director,writer,producer"
tt2737304,nm0081540,Susanne Bier,1960,"director,writer,producer"
tt1247690,nm0081540,Susanne Bier,1960,"director,writer,producer"
tt1854236,nm0081540,Susanne Bier,1960,"director,writer,producer"
tt3305316,nm0081540,Susanne Bier,1960,"director,writer,producer"
tt1341167,nm0606439,Christopher Morris,1965,"actor,writer,composer"
tt7078658,nm0606439,Christopher Morris,1965,"actor,writer,composer"
tt1346719,nm0050547,Sara Ballantine,1954,"actress,producer,writer"
tt1359553,nm0758933,Jean-Paul Salomé,1960,"writer,director,actor"
tt2795848,nm0758933,Jean-Paul Salomé,1960,"writer,director,actor"
tt1368440,nm1856884,Aleksandr Dulerayn,1966,"producer,director,writer"
tt1372686,nm0000146,Ralph Fiennes,1962,"actor,director,soundtrack"
tt1700845,nm0000146,Ralph Fiennes,1962,"actor,director,soundtrack"
tt5460858,nm0000146,Ralph Fiennes,1962,"actor,director,soundtrack"
tt1407055,nm0028220,Casper Andreas,1972,"actor,producer,director"
tt5576266,nm0028220,Casper Andreas,1972,"actor,producer,director"
tt1599296,nm0028220,Casper Andreas,1972,"actor,producer,director"
