movie_id,primary_title,original_title,start_year,runtime_minutes,genres
tt0063540,sunghursh,sunghursh,2013,175,"action,crime,drama"
tt0066787,one day before the rainy season,ashad ka ek din,2019,114,"biography,drama"
tt0069049,the other side of the wind,the other side of the wind,2018,122,drama
tt0146592,pál adrienn,pál adrienn,2010,136,drama
tt0154039,so much for justice!,oda az igazság,2010,100,history
tt0159369,cooper and hemingway: the true gen,cooper and hemingway: the true gen,2013,180,documentary
tt0162942,children of the green dragon,a zöld sárkány gyermekei,2010,89,drama
tt0176694,the tragedy of man,az ember tragédiája,2011,160,"animation,drama,history"
tt0192528,heaven & hell,reverse heaven,2018,104,drama
tt0230212,the final journey,the final journey,2010,120,drama
tt0247643,los pájaros se van con la muerte,los pájaros se van con la muerte,2011,110,"drama,mystery"
tt0249516,foodfight!,foodfight!,2012,91,"action,animation,comedy"
tt0276568,to chase a million,to chase a million,2018,97,"action,drama"
tt0285252,life's a beach,life's a beach,2012,100,comedy
tt0311448,lives no longer ours,lives no longer ours,2011,90,"drama,romance"
tt0315642,wazir,wazir,2016,103,"action,crime,drama"
tt0323808,the wicker tree,the wicker tree,2011,96,"drama,horror"
tt0326965,in my sleep,in my sleep,2010,104,"drama,mystery,thriller"
tt0328810,my land,aamaar bhuvan,2018,102,"drama,family"
tt0329539,rice girl,rice girl,2014,95,"adventure,comedy,romance"
tt0331312,this wretched life,this wretched life,2010,99,"comedy,drama"
tt0337926,chatô - the king of brazil,chatô: o rei do brasil,2015,102,biography
tt0346045,transeúntes,transeúntes,2015,101,"comedy,drama"
tt0359950,the secret life of walter mitty,the secret life of walter mitty,2013,114,"adventure,comedy,drama"
tt0360556,fahrenheit 451,fahrenheit 451,2018,100,"drama,sci-fi,thriller"
tt0364201,aman ke farishtey,aman ke farishtey,2016,137,action
tt0365545,nappily ever after,nappily ever after,2018,98,"comedy,drama,romance"
tt0365907,a walk among the tombstones,a walk among the tombstones,2014,114,"action,crime,drama"
tt0369610,jurassic world,jurassic world,2015,124,"action,adventure,sci-fi"
tt0376136,the rum diary,the rum diary,2011,119,"comedy,drama"
tt0376479,american pastoral,american pastoral,2016,108,"crime,drama"
tt0381957,cloud cuckoo land,cloud cuckoo land,2012,92,drama
tt0383010,the three stooges,the three stooges,2012,92,"comedy,family"
tt0393049,anderson's cross,anderson's cross,2010,98,"comedy,drama,romance"
tt0396123,den milde smerte,den milde smerte,2010,280,drama
tt0398286,tangled,tangled,2010,100,"adventure,animation,comedy"
tt0400320,the connecticut kid,the connecticut kid,2011,87,adventure
tt0401729,john carter,john carter,2012,132,"action,adventure,sci-fi"
tt0403645,burnt by the sun 2,utomlennye solntsem 2,2010,181,"drama,history,war"
tt0403935,action jackson,action jackson,2014,144,"action,thriller"
tt0404978,gambit,gambit,2012,89,"comedy,crime"
tt0407194,seven fallen objects,seven fallen objects,2011,90,"comedy,drama"
tt0409379,in secret,in secret,2013,107,"crime,drama,thriller"
tt0409847,cowboys & aliens,cowboys & aliens,2011,119,"action,sci-fi,thriller"
tt0411951,tekken,tekken,2010,87,"action,crime,drama"
tt0417750,hempsters: plant the seed,hempsters: plant the seed,2010,90,documentary
