movie_id,primary_title,start_year,runtime_minutes,genres,averagerating,numvotes
tt0069049,the other side of the wind,2018,122,drama,6.9,4517
tt0249516,foodfight!,2012,91,"action,animation,comedy",1.9,8248
tt0315642,wazir,2016,103,"action,crime,drama",7.1,15378
tt0323808,the wicker tree,2011,96,"drama,horror",3.9,2328
tt0326965,in my sleep,2010,104,"drama,mystery,thriller",5.5,1889
tt0359950,the secret life of walter mitty,2013,114,"adventure,comedy,drama",7.3,275300
tt0360556,fahrenheit 451,2018,100,"drama,sci-fi,thriller",4.9,14469
tt0365545,nappily ever after,2018,98,"comedy,drama,romance",6.4,6287
tt0365907,a walk among the tombstones,2014,114,"action,crime,drama",6.5,105116
tt0369610,jurassic world,2015,124,"action,adventure,sci-fi",7.0,539338
tt0376136,the rum diary,2011,119,"comedy,drama",6.2,94787
tt0376479,american pastoral,2016,108,"crime,drama",6.1,12898
tt0383010,the three stooges,2012,92,"comedy,family",5.1,28570
tt0398286,tangled,2010,100,"adventure,animation,comedy",7.8,366366
tt0401729,john carter,2012,132,"action,adventure,sci-fi",6.6,241792
tt0403645,burnt by the sun 2,2010,181,"drama,history,war",4.1,3907
tt0403935,action jackson,2014,144,"action,thriller",3.3,2862
tt0404978,gambit,2012,89,"comedy,crime",5.7,22148
tt0409379,in secret,2013,107,"crime,drama,thriller",6.2,7045
tt0409847,cowboys & aliens,2011,119,"action,sci-fi,thriller",6.0,195889
tt0411951,tekken,2010,87,"action,crime,drama",4.8,24913
tt0420293,the stanford prison experiment,2015,122,"biography,drama,history",6.9,32591
tt0427152,dinner for schmucks,2010,114,comedy,5.9,91546
tt0429493,the a-team,2010,117,"action,adventure,thriller",6.8,235256
tt0431021,the possession,2012,92,"horror,mystery,thriller",5.9,53649
tt0433035,real steel,2011,127,"action,drama,family",7.1,283534
tt0435651,the giver,2014,97,"drama,romance,sci-fi",6.5,104999
tt0435761,toy story 3,2010,103,"adventure,animation,comedy",8.3,682218
tt0437086,alita: battle angel,2019,122,"action,adventure,sci-fi",7.5,88207
tt0443272,lincoln,2012,150,"biography,drama,history",7.4,228701
tt0443331,milenge milenge,2010,109,"drama,romance",4.1,1571
tt0443465,before we go,2014,95,"comedy,drama,romance",6.8,45181
tt0443533,the history of love,2016,134,"drama,romance,war",6.3,1024
tt0445054,7 days,2010,105,"crime,drama,horror",6.5,6705
tt0446029,scott pilgrim vs. the world,2010,112,"action,comedy,fantasy",7.5,339338
tt0448022,a bird of the air,2011,108,"drama,romance",6.6,1061
tt0448115,shazam!,2019,132,"action,adventure,comedy",7.4,109051
tt0448694,puss in boots,2011,90,"action,adventure,animation",6.6,133355
tt0451279,wonder woman,2017,141,"action,adventure,fantasy",7.5,487527
tt0452664,party crashers,2012,88,comedy,5.4,907
tt0453562,42,2013,128,"biography,drama,sport",7.5,77703
tt0454876,life of pi,2012,127,"adventure,drama,fantasy",7.9,535836
tt0455323,being flynn,2012,102,drama,6.4,15780
tt0455407,the crazies,2010,101,"horror,thriller",6.5,104465
tt0455944,the equalizer,2014,132,"action,crime,thriller",7.2,302302
tt0458339,captain america: the first avenger,2011,124,"action,adventure,sci-fi",6.9,668137
