movie_id,person_id,primary_name,birth_year,primary_profession
tt0285252,nm0899854,Tony Vitale,1964,"producer,director,writer"
tt0438973,nm0175726,Steve Conrad,1968,"writer,producer,director"
tt2358925,nm0175726,Steve Conrad,1968,"writer,producer,director"
tt2543472,nm0175726,Steve Conrad,1968,"writer,producer,director"
tt0359950,nm0175726,Steve Conrad,1968,"writer,producer,director"
tt0996958,nm2286991,Tara Cardinal,1978,"actress,writer,producer"
tt2234024,nm2286991,Tara Cardinal,1978,"actress,writer,producer"
tt0996958,nm2651190,Kim Pritekel,1976,"writer,director,actress"
tt1656191,nm2651190,Kim Pritekel,1976,"writer,director,actress"
tt0999913,nm0527109,Rod Lurie,1962,"writer,director,producer"
tt10059624,nm0472248,Piet Kroon,1960,"art_department,animation_department,writer"
tt10126628,nm0403225,Jianqi Huo,1958,"director,writer,art_director"
tt10165624,nm2152398,Daniel Knudsen,1988,"actor,director,producer"
tt1125929,nm0414893,Mark Jacobson,1948,"writer,producer"
tt1126618,nm0112459,Aline Brosh McKenna,1967,"writer,producer,soundtrack"
tt3228774,nm0112459,Aline Brosh McKenna,1967,"writer,producer,soundtrack"
tt1389137,nm0112459,Aline Brosh McKenna,1967,"writer,producer,soundtrack"
tt1742650,nm0112459,Aline Brosh McKenna,1967,"writer,producer,soundtrack"
tt1823664,nm0112459,Aline Brosh McKenna,1967,"writer,producer,soundtrack"
tt1138442,nm0000247,John Woo,1946,"producer,director,writer"
tt4537986,nm0000247,John Woo,1946,"producer,director,writer"
tt1152830,nm1868973,Stacey Cruwys,1974,"actress,writer,editor"
tt1152830,nm1864022,Chris Tyrrell,1974,"writer,producer,director"
tt1323592,nm2598931,Hunter G. Williams,1979,"producer,actor,writer"
tt1814905,nm2598931,Hunter G. Williams,1979,"producer,actor,writer"
tt10376988,nm2598931,Hunter G. Williams,1979,"producer,actor,writer"
tt1523972,nm2598931,Hunter G. Williams,1979,"producer,actor,writer"
tt5996648,nm2598931,Hunter G. Williams,1979,"producer,actor,writer"
tt1483007,nm2598931,Hunter G. Williams,1979,"producer,actor,writer"
tt3921694,nm2598931,Hunter G. Williams,1979,"producer,actor,writer"
tt1560988,nm2598931,Hunter G. Williams,1979,"producer,actor,writer"
tt6901334,nm2598931,Hunter G. Williams,1979,"producer,actor,writer"
tt1323592,nm0132843,Scott Michael Campbell,1971,"actor,writer,producer"
tt1814905,nm0132843,Scott Michael Campbell,1971,"actor,writer,producer"
tt1523972,nm0132843,Scott Michael Campbell,1971,"actor,writer,producer"
tt1329350,nm0343980,Mark Steven Grove,1966,"stunts,special_effects,miscellaneous"
tt1874742,nm0343980,Mark Steven Grove,1966,"stunts,special_effects,miscellaneous"
tt2039380,nm0343980,Mark Steven Grove,1966,"stunts,special_effects,miscellaneous"
