movie_id,movie_name,release_year_movies,runtime_minutes,genres,averagerating,numvotes,release_date,production_budget,domestic_gross,worldwide_gross
tt0249516,foodfight!,1970,91,"action,animation,comedy",1.9,8248,2012-12-31,45000000,0,73706
tt0359950,the secret life of walter mitty,1970,114,"adventure,comedy,drama",7.3,275300,2013-12-25,91000000,58236838,187861183
tt0365907,a walk among the tombstones,1970,114,"action,crime,drama",6.5,105116,2014-09-19,28000000,26017685,62108587
tt0369610,jurassic world,1970,124,"action,adventure,sci-fi",7.0,539338,2015-06-12,215000000,652270625,1648854864
tt0376136,the rum diary,1970,119,"comedy,drama",6.2,94787,2011-10-28,45000000,13109815,21544732
tt0383010,the three stooges,1970,92,"comedy,family",5.1,28570,2012-04-13,30000000,44338224,54052249
tt0398286,tangled,1970,100,"adventure,animation,comedy",7.8,366366,2010-11-24,260000000,200821936,586477240
tt0401729,john carter,1970,132,"action,adventure,sci-fi",6.6,241792,2012-03-09,275000000,73058679,282778100
tt0403935,action jackson,1970,144,"action,thriller",3.3,2862,1988-02-12,7000000,20257000,20257000
tt0427152,dinner for schmucks,1970,114,comedy,5.9,91546,2010-07-30,69000000,73026337,86796502
tt0429493,the a-team,1970,117,"action,adventure,thriller",6.8,235256,2010-06-11,110000000,77222099,177241171
tt0431021,the possession,1970,92,"horror,mystery,thriller",5.9,53649,2012-08-31,14000000,49130588,82925064
tt0433035,real steel,1970,127,"action,drama,family",7.1,283534,2011-10-07,110000000,85463309,263880341
tt0435651,the giver,1970,97,"drama,romance,sci-fi",6.5,104999,2014-08-15,25000000,45090374,66540205
tt0435761,toy story 3,1970,103,"adventure,animation,comedy",8.3,682218,2010-06-18,200000000,415004880,1068879522
tt0437086,alita: battle angel,1970,122,"action,adventure,sci-fi",7.5,88207,2019-02-14,170000000,85710210,402976036
tt0443272,lincoln,1970,150,"biography,drama,history",7.4,228701,2012-11-09,65000000,182207973,273346281
tt0443465,before we go,1970,95,"comedy,drama,romance",6.8,45181,2015-09-04,3000000,37151,483938
tt0443533,the history of love,1970,134,"drama,romance,war",6.3,1024,2016-11-18,20000000,0,476624
tt0446029,scott pilgrim vs. the world,1970,112,"action,comedy,fantasy",7.5,339338,2010-08-13,85000000,31611316,48056764
tt0448115,shazam!,1970,132,"action,adventure,comedy",7.4,109051,2019-04-05,85000000,139606856,362899733
tt0448694,puss in boots,1970,90,"action,adventure,animation",6.6,133355,2011-10-28,130000000,149260504,554987477
tt0451279,wonder woman,1970,141,"action,adventure,fantasy",7.5,487527,2017-06-02,150000000,412563408,821133378
tt0453562,42,1970,128,"biography,drama,sport",7.5,77703,2013-04-12,31000000,95020213,97470701
tt0454876,life of pi,1970,127,"adventure,drama,fantasy",7.9,535836,2012-11-21,120000000,124987022,620912003
tt0455407,the crazies,1970,101,"horror,thriller",6.5,104465,2010-02-26,19000000,39123589,56445534
tt0455944,the equalizer,1970,132,"action,crime,thriller",7.2,302302,2014-09-26,55000000,101530738,192903624
tt0458339,captain america: the first avenger,1970,124,"action,adventure,sci-fi",6.9,668137,2011-07-22,140000000,176654505,370569776
tt0458481,sin city: a dame to kill for,1970,102,"crime,thriller",6.5,140666,2014-08-22,65000000,13757804,40650842
tt0464154,piranha 3d,1970,88,"comedy,horror",5.4,81327,2010-08-20,24000000,25003155,83660160
tt0466893,margaret,1970,150,drama,6.5,14708,2011-09-30,14000000,47185,623292
tt0470752,ex machina,1970,108,"drama,mystery,sci-fi",7.7,424542,2015-04-10,13000000,25440971,38358392
tt0471042,tower heist,1970,104,"action,comedy,crime",6.2,125102,2011-11-04,85000000,78046570,150422946
tt0472181,the smurfs,1970,103,"adventure,animation,comedy",5.5,77577,2011-07-29,110000000,142614158,563749323
tt0472399,the mechanic,1970,93,"action,crime,thriller",6.6,141254,2011-01-28,42500000,29121498,76347393
tt0475290,"hail, caesar!",1970,106,"comedy,drama,music",6.3,111422,2016-02-05,22000000,30080225,64160680
tt0478304,the tree of life,1970,139,"drama,fantasy",6.8,156266,2011-05-27,35000000,13305665,61721826
tt0478970,ant-man,1970,117,"action,adventure,comedy",7.3,501213,2015-07-17,130000000,180202163,518858449
tt0479997,season of the witch,1970,95,"action,adventure,fantasy",5.4,85777,2011-01-07,40000000,24827228,91126600
tt0480687,hall pass,1970,105,"comedy,romance",5.9,113775,2011-02-25,68000000,45060734,87173475
tt0481499,the croods,1970,98,"action,adventure,animation",7.2,176699,2013-03-22,135000000,187168425,573068425
tt0485985,red tails,1970,125,"action,adventure,drama",5.9,31815,2012-01-20,58000000,49876377,50365498
tt0491152,something borrowed,1970,112,"comedy,drama,romance",5.9,54314,2011-05-06,35000000,39046489,65084116
tt0491203,tulip fever,1970,105,"drama,history,romance",6.2,15037,2017-09-01,25000000,2455635,6792768
