person_id,primary_name,birth_year,primary_profession
nm0063618,Jeff Beal,1963,"composer,music_department,soundtrack"
nm0065847,Michael Frost Beckner,1963,"writer,producer,miscellaneous"
nm0066093,Ahmad Bedair,1945,"actor,miscellaneous"
nm0066897,Mohammad-Ali Behboudi,1956,actor
nm0067983,Krunoslav Belko,1971,actor
nm0069990,Jorge Ben Jor,1942,"soundtrack,composer,actor"
nm0070482,Joel Bender,1948,"editor,director,writer"
nm0072456,Chris Benson,1974,"cinematographer,camera_department,producer"
nm0072476,Doug Benson,1962,"actor,producer,writer"
nm0075666,Joe Berlinger,1961,"producer,director,camera_department"
nm0076139,Andrée Bernard,1966,actress
nm0077067,Jamie Bernstein,1952,"director,actress,writer"
nm0080566,Martín Bianchedi,1955,"composer,music_department,sound_department"
nm0081133,Adrienne Biddle,1971,"producer,miscellaneous,director"
nm0081255,Andreas Bieber,1966,actor
nm0081702,Claudio Bigagli,1955,"actor,writer,director"
nm0082112,Jay Bilas,1963,"actor,producer"
nm0083271,Leila Birch,1978,"actress,miscellaneous,producer"
nm0083605,David Birkin,1977,actor
nm0085316,James Black,1962,"actor,producer,director"
nm0086205,Bre Blair,1980,actress
nm0086611,Julia Blake,1936,actress
nm0086850,G. Robert Blakey,1936,producer
nm0087450,Mark Blaney,1969,"producer,miscellaneous"
nm0087913,Jean Blaute,1952,"composer,actor,music_department"
nm0087933,Jacek Blawut,1950,"cinematographer,miscellaneous,director"
nm0088098,Jonah Blechman,1975,"actor,miscellaneous,producer"
nm0089896,Colin Blunstone,1945,"soundtrack,actor"
nm0090420,Alexander Boboschewski,1962,"camera_department,cinematographer,actor"
nm0090847,Roberto Bodegas,1933,"director,assistant_director,writer"
nm0091773,Holt Boggs,1971,"actor,producer,writer"
nm0093109,Don Bolles,1956,"actor,soundtrack,miscellaneous"
nm0093174,Ryan Bollman,1972,actor
nm0093589,Matt Bomer,1977,"actor,producer,soundtrack"
nm0094612,Daryl Bonilla,1975,"actor,director"
nm0094756,Manu Bonmariage,1941,"cinematographer,director,camera_department"
nm0096983,Wes Borland,1975,"soundtrack,composer,music_department"
nm0097833,João Bosco,1946,"soundtrack,actor,composer"
nm0098583,Claudio Botosso,1958,actor
nm0099841,Gilles Bourdos,1963,"writer,director"
nm0100556,Raoul Bova,1971,"actor,producer,writer"
nm0100854,Jeremy Bowen,1960,actor
nm0100865,Jon Bowen,1981,"camera_department,cinematographer,actor"
nm0101248,Peter Bowles,1936,"actor,writer,producer"
nm0102744,Diana Bracho,1944,actress
nm0104185,Kicki Bramberg,1955,actress
nm0104309,Joyce Branagh,1970,"actress,miscellaneous,assistant_director"
nm0105723,Bettina Braun,1969,"director,editor,writer"
nm0105779,Heinz-Josef Braun,1957,actor
nm0105914,Sharon Brauner,1969,"actress,producer,director"
nm0106842,Neil Bregman,1954,producer
nm0106979,Michal Breitenwald,1955,actor
nm0109400,Mariola Brillowska,1961,"director,writer,actress"
nm0110262,Werner Brix,1964,actor
