movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes
tt0063540,sunghursh,sunghursh,2013,175,"action,crime,drama",7.0,77
tt0066787,one day before the rainy season,ashad ka ek din,2019,114,"biography,drama",7.2,43
tt0069049,the other side of the wind,the other side of the wind,2018,122,drama,6.9,4517
tt0146592,pál adrienn,pál adrienn,2010,136,drama,6.8,451
tt0154039,so much for justice!,oda az igazság,2010,100,history,4.6,64
tt0159369,cooper and hemingway: the true gen,cooper and hemingway: the true gen,2013,180,documentary,7.6,53
tt0162942,children of the green dragon,a zöld sárkány gyermekei,2010,89,drama,6.9,120
tt0176694,the tragedy of man,az ember tragédiája,2011,160,"animation,drama,history",7.8,584
tt0192528,heaven & hell,reverse heaven,2018,104,drama,4.0,72
tt0230212,the final journey,the final journey,2010,120,drama,8.8,8
tt0247643,los pájaros se van con la muerte,los pájaros se van con la muerte,2011,110,"drama,mystery",4.0,12
tt0249516,foodfight!,foodfight!,2012,91,"action,animation,comedy",1.9,8248
tt0276568,to chase a million,to chase a million,2018,97,"action,drama",7.4,5
tt0285252,life's a beach,life's a beach,2012,100,comedy,3.9,219
tt0315642,wazir,wazir,2016,103,"action,crime,drama",7.1,15378
tt0323808,the wicker tree,the wicker tree,2011,96,"drama,horror",3.9,2328
tt0326965,in my sleep,in my sleep,2010,104,"drama,mystery,thriller",5.5,1889
tt0328810,my land,aamaar bhuvan,2018,102,"drama,family",7.9,61
tt0329539,rice girl,rice girl,2014,95,"adventure,comedy,romance",6.1,73
tt0331312,this wretched life,this wretched life,2010,99,"comedy,drama",7.6,59
tt0337926,chatô - the king of brazil,chatô: o rei do brasil,2015,102,biography,6.0,558
tt0346045,transeúntes,transeúntes,2015,101,"comedy,drama",6.7,35
tt0359950,the secret life of walter mitty,the secret life of walter mitty,2013,114,"adventure,comedy,drama",7.3,275300
tt0360556,fahrenheit 451,fahrenheit 451,2018,100,"drama,sci-fi,thriller",4.9,14469
tt0364201,aman ke farishtey,aman ke farishtey,2016,137,action,6.4,16
tt0365545,nappily ever after,nappily ever after,2018,98,"comedy,drama,romance",6.4,6287
tt0365907,a walk among the tombstones,a walk among the tombstones,2014,114,"action,crime,drama",6.5,105116
tt0369610,jurassic world,jurassic world,2015,124,"action,adventure,sci-fi",7.0,539338
tt0376136,the rum diary,the rum diary,2011,119,"comedy,drama",6.2,94787
tt0376479,american pastoral,american pastoral,2016,108,"crime,drama",6.1,12898
tt0381957,cloud cuckoo land,cloud cuckoo land,2012,92,drama,7.6,23
tt0383010,the three stooges,the three stooges,2012,92,"comedy,family",5.1,28570
tt0393049,anderson's cross,anderson's cross,2010,98,"comedy,drama,romance",5.5,106
tt0396123,den milde smerte,den milde smerte,2010,280,drama,7.8,6
tt0398286,tangled,tangled,2010,100,"adventure,animation,comedy",7.8,366366
tt0400320,the connecticut kid,the connecticut kid,2011,87,adventure,7.9,18
tt0401729,john carter,john carter,2012,132,"action,adventure,sci-fi",6.6,241792
