,name,studio,domestic_gross_x,foreign_gross,year,movie_id,original_title_x,start_year,runtime_minutes,genres,Unnamed: 0,genre_ids,id_x,original_language,original_title_y,popularity,release_date_x,vote_average,vote_count,id_y,release_date_y,production_budget,domestic_gross_y,worldwide_gross
0,Toy Story 3,BV,415000000.0,652000000,2010,tt0435761,Toy Story 3,2010,103.0,"Adventure,Animation,Comedy",7,"[16, 10751, 35]",10193,en,Toy Story 3,24.445,2010-06-17,7.7,8340,47,"Jun 18, 2010","$200,000,000","$415,004,880","$1,068,879,522"
1,Inception,WB,292600000.0,535700000,2010,tt1375666,Inception,2010,148.0,"Action,Adventure,Sci-Fi",4,"[28, 878, 12]",27205,en,Inception,27.92,2010-07-16,8.3,22186,38,"Jul 16, 2010","$160,000,000","$292,576,195","$835,524,642"
2,Shrek Forever After,P/DW,238700000.0,513900000,2010,tt0892791,Shrek Forever After,2010,93.0,"Adventure,Animation,Comedy",38,"[35, 12, 14, 16, 10751]",10192,en,Shrek Forever After,15.041,2010-05-16,6.1,3843,27,"May 21, 2010","$165,000,000","$238,736,787","$756,244,673"
3,The Twilight Saga: Eclipse,Sum.,300500000.0,398000000,2010,tt1325004,The Twilight Saga: Eclipse,2010,124.0,"Adventure,Drama,Fantasy",15,"[12, 14, 18, 10749]",24021,en,The Twilight Saga: Eclipse,20.34,2010-06-23,6.0,4909,53,"Jun 30, 2010","$68,000,000","$300,531,751","$706,102,828"
4,Iron Man 2,Par.,312400000.0,311500000,2010,tt1228705,Iron Man 2,2010,124.0,"Action,Adventure,Sci-Fi",2,"[12, 28, 878]",10138,en,Iron Man 2,28.515,2010-05-07,6.8,12368,15,"May 7, 2010","$170,000,000","$312,433,331","$621,156,389"
5,Tangled,BV,200800000.0,391000000,2010,tt0398286,Tangled,2010,100.0,"Adventure,Animation,Comedy",13,"[16, 10751]",38757,en,Tangled,21.511,2010-11-24,7.5,6407,15,"Nov 24, 2010","$260,000,000","$200,821,936","$586,477,240"
6,Despicable Me,Uni.,251500000.0,291600000,2010,tt1323594,Despicable Me,2010,95.0,"Animation,Comedy,Family",8,"[16, 10751, 35]",20352,en,Despicable Me,23.673,2010-07-09,7.2,10057,50,"Jul 9, 2010","$69,000,000","$251,513,985","$543,464,573"
7,How to Train Your Dragon,P/DW,217600000.0,277300000,2010,tt0892769,How to Train Your Dragon,2010,98.0,"Action,Adventure,Animation",1,"[14, 12, 16, 10751]",10191,en,How to Train Your Dragon,28.734,2010-03-26,7.7,7610,30,"Mar 26, 2010","$165,000,000","$217,581,232","$494,870,992"
8,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,311300000,2010,tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,113.0,"Adventure,Family,Fantasy",22,"[12, 10751, 14]",10140,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,17.382,2010-12-10,6.3,3196,48,"Dec 10, 2010","$155,000,000","$104,386,950","$418,186,950"
9,The Karate Kid,Sony,176600000.0,182500000,2010,tt1155076,The Karate Kid,2010,140.0,"Action,Drama,Family",76,"[28, 12, 18, 10751]",38575,en,The Karate Kid,12.256,2010-06-10,6.3,3140,77,"Jun 11, 2010","$40,000,000","$176,591,618","$351,774,938"
10,The Karate Kid,Sony,176600000.0,182500000,2010,tt1155076,The Karate Kid,2010,140.0,"Action,Drama,Family",76,"[28, 12, 18, 10751]",38575,en,The Karate Kid,12.256,2010-06-10,6.3,3140,63,"Jun 22, 1984","$8,000,000","$90,815,558","$90,815,558"
11,Black Swan,FoxS,107000000.0,222400000,2010,tt0947798,Black Swan,2010,108.0,"Drama,Thriller",47,"[18, 53]",44214,en,Black Swan,13.745,2010-12-03,7.6,8374,46,"Dec 3, 2010","$13,000,000","$106,954,678","$331,266,710"
12,Megamind,P/DW,148400000.0,173500000,2010,tt1001526,Megamind,2010,95.0,"Action,Animation,Comedy",9,"[16, 28, 35, 10751, 878]",38055,en,Megamind,22.855,2010-11-04,6.8,3635,47,"Nov 5, 2010","$130,000,000","$148,415,853","$321,887,208"
13,Robin Hood,Uni.,105300000.0,216400000,2010,tt0955308,Robin Hood,2010,140.0,"Action,Adventure,Drama",36,"[28, 12, 18]",20662,en,Robin Hood,15.444,2010-05-14,6.3,2569,39,"May 14, 2010","$210,000,000","$105,487,148","$322,459,006"
14,Robin Hood,Uni.,105300000.0,216400000,2010,tt0955308,Robin Hood,2010,140.0,"Action,Adventure,Drama",36,"[28, 12, 18]",20662,en,Robin Hood,15.444,2010-05-14,6.3,2569,9,"Nov 21, 2018","$99,000,000","$30,824,628","$84,747,441"
15,Robin Hood,Uni.,105300000.0,216400000,2010,tt0955308,Robin Hood,2010,140.0,"Action,Adventure,Drama",9814,"[12, 16, 10751]",114612,en,Storybook Classics - Robin Hood,0.68,2013-01-31,5.7,3,39,"May 14, 2010","$210,000,000","$105,487,148","$322,459,006"
16,Robin Hood,Uni.,105300000.0,216400000,2010,tt0955308,Robin Hood,2010,140.0,"Action,Adventure,Drama",9814,"[12, 16, 10751]",114612,en,Storybook Classics - Robin Hood,0.68,2013-01-31,5.7,3,9,"Nov 21, 2018","$99,000,000","$30,824,628","$84,747,441"
17,Robin Hood,Uni.,105300000.0,216400000,2010,tt0955308,Robin Hood,2010,140.0,"Action,Adventure,Drama",23822,"[12, 28, 53]",375588,en,Robin Hood,39.975,2018-11-21,5.8,1194,39,"May 14, 2010","$210,000,000","$105,487,148","$322,459,006"
18,Robin Hood,Uni.,105300000.0,216400000,2010,tt0955308,Robin Hood,2010,140.0,"Action,Adventure,Drama",23822,"[12, 28, 53]",375588,en,Robin Hood,39.975,2018-11-21,5.8,1194,9,"Nov 21, 2018","$99,000,000","$30,824,628","$84,747,441"
19,Robin Hood,Uni.,105300000.0,216400000,2010,tt2363363,Robin Hood,2013,92.0,"Action,Drama",36,"[28, 12, 18]",20662,en,Robin Hood,15.444,2010-05-14,6.3,2569,39,"May 14, 2010","$210,000,000","$105,487,148","$322,459,006"
20,Robin Hood,Uni.,105300000.0,216400000,2010,tt2363363,Robin Hood,2013,92.0,"Action,Drama",36,"[28, 12, 18]",20662,en,Robin Hood,15.444,2010-05-14,6.3,2569,9,"Nov 21, 2018","$99,000,000","$30,824,628","$84,747,441"
21,Robin Hood,Uni.,105300000.0,216400000,2010,tt2363363,Robin Hood,2013,92.0,"Action,Drama",9814,"[12, 16, 10751]",114612,en,Storybook Classics - Robin Hood,0.68,2013-01-31,5.7,3,39,"May 14, 2010","$210,000,000","$105,487,148","$322,459,006"
22,Robin Hood,Uni.,105300000.0,216400000,2010,tt2363363,Robin Hood,2013,92.0,"Action,Drama",9814,"[12, 16, 10751]",114612,en,Storybook Classics - Robin Hood,0.68,2013-01-31,5.7,3,9,"Nov 21, 2018","$99,000,000","$30,824,628","$84,747,441"
